Tempo;Missile_X;Missile_Y;Missile_Z;Velocita_M_Tot;Target_X;Target_Y;Target_Z;Distanza;Drag_N;Carburante_Residuo;G_Load
0.000;2500.00;0.00;0.23;20.00;2997.00;2000.60;1500.50;2549.51;0.03;28.00;0.00
0.010;2500.00;0.00;0.49;22.84;2994.00;2001.20;1501.00;2549.55;0.04;27.90;0.00
0.020;2500.00;0.00;0.77;25.69;2991.00;2001.80;1501.50;2549.59;0.04;27.80;0.00
0.030;2500.00;0.00;1.08;28.54;2988.00;2002.40;1502.00;2549.60;0.05;27.70;0.00
0.040;2500.00;0.00;1.43;31.39;2985.00;2003.00;1502.50;2549.61;0.07;27.60;0.00
0.050;2500.00;0.00;1.80;34.25;2982.00;2003.60;1503.00;2549.60;0.08;27.50;0.03
0.060;2500.00;0.00;2.20;37.11;2979.00;2004.20;1503.50;2549.58;0.09;27.40;0.09
0.070;2500.00;0.00;2.63;39.98;2976.00;2004.80;1504.00;2549.55;0.11;27.30;0.16
0.080;2500.00;0.00;3.08;42.84;2973.00;2005.40;1504.50;2549.50;0.12;27.20;0.22
0.090;2500.00;0.00;3.57;45.71;2970.01;2006.01;1505.01;2549.44;0.14;27.10;0.28
0.100;2500.00;0.00;4.08;48.59;2967.01;2006.61;1505.51;2549.37;0.16;27.00;0.35
0.110;2500.00;0.00;4.63;51.47;2964.01;2007.21;1506.01;2549.28;0.18;26.90;0.41
0.120;2499.99;0.00;5.20;54.35;2961.01;2007.81;1506.51;2549.18;0.20;26.80;0.48
0.130;2499.99;0.00;5.80;57.24;2958.01;2008.41;1507.01;2549.07;0.22;26.70;0.54
0.140;2499.99;0.00;6.43;60.13;2955.01;2009.01;1507.51;2548.94;0.24;26.60;0.60
0.150;2499.98;0.00;7.09;63.02;2952.01;2009.61;1508.01;2548.81;0.27;26.50;0.67
0.160;2499.98;0.01;7.78;65.91;2949.02;2010.22;1508.52;2548.65;0.29;26.40;0.73
0.170;2499.97;0.01;8.50;68.81;2946.02;2010.82;1509.02;2548.49;0.32;26.30;0.80
0.180;2499.96;0.01;9.24;71.71;2943.02;2011.42;1509.52;2548.31;0.35;26.20;0.86
0.190;2499.96;0.01;10.02;74.62;2940.02;2012.02;1510.02;2548.12;0.37;26.10;0.93
0.200;2499.95;0.01;10.82;77.52;2937.02;2012.62;1510.52;2547.91;0.40;26.00;0.99
0.210;2499.93;0.02;11.65;80.43;2934.03;2013.23;1511.03;2547.69;0.43;25.90;1.06
0.220;2499.92;0.02;12.52;83.35;2931.03;2013.83;1511.53;2547.46;0.47;25.80;1.13
0.230;2499.91;0.02;13.41;86.26;2928.03;2014.43;1512.03;2547.22;0.50;25.70;1.19
0.240;2499.89;0.03;14.33;89.18;2925.03;2015.03;1512.53;2546.96;0.53;25.60;1.26
0.250;2499.87;0.03;15.28;92.10;2922.04;2015.64;1513.04;2546.69;0.57;25.50;1.32
0.260;2499.85;0.03;16.26;95.03;2919.04;2016.24;1513.54;2546.40;0.61;25.40;1.39
0.270;2499.83;0.04;17.27;97.95;2916.04;2016.84;1514.04;2546.10;0.64;25.30;1.46
0.280;2499.81;0.05;18.31;100.88;2913.04;2017.44;1514.54;2545.79;0.68;25.20;1.52
0.290;2499.78;0.05;19.37;103.81;2910.05;2018.05;1515.05;2545.46;0.72;25.10;1.59
0.300;2499.76;0.06;20.47;106.74;2907.05;2018.65;1515.55;2545.12;0.77;25.00;1.66
0.310;2499.73;0.07;21.59;109.68;2904.05;2019.25;1516.05;2544.77;0.81;24.90;1.72
0.320;2499.69;0.08;22.75;112.62;2901.06;2019.86;1516.56;2544.40;0.85;24.80;1.79
0.330;2499.66;0.09;23.93;115.56;2898.06;2020.46;1517.06;2544.02;0.90;24.70;1.86
0.340;2499.62;0.10;25.15;118.50;2895.06;2021.06;1517.56;2543.63;0.94;24.60;1.93
0.350;2499.58;0.11;26.39;121.44;2892.07;2021.67;1518.07;2543.22;0.99;24.50;2.00
0.360;2499.53;0.12;27.66;124.39;2889.07;2022.27;1518.57;2542.80;1.04;24.40;2.07
0.370;2499.49;0.13;28.97;127.34;2886.07;2022.87;1519.07;2542.37;1.09;24.30;2.13
0.380;2499.44;0.15;30.30;130.29;2883.08;2023.48;1519.58;2541.92;1.14;24.20;2.20
0.390;2499.38;0.16;31.66;133.24;2880.08;2024.08;1520.08;2541.46;1.19;24.10;2.27
0.400;2499.33;0.18;33.05;136.19;2877.09;2024.69;1520.59;2540.98;1.24;24.00;2.34
0.410;2499.27;0.19;34.47;139.14;2874.09;2025.29;1521.09;2540.49;1.30;23.90;2.41
0.420;2499.20;0.21;35.92;142.10;2871.09;2025.89;1521.59;2539.99;1.35;23.80;2.48
0.430;2499.14;0.23;37.40;145.06;2868.10;2026.50;1522.10;2539.47;1.41;23.70;2.56
0.440;2499.06;0.25;38.90;148.02;2865.10;2027.10;1522.60;2538.94;1.47;23.60;2.63
0.450;2498.99;0.27;40.44;150.98;2862.11;2027.71;1523.11;2538.40;1.53;23.50;2.70
0.460;2498.91;0.30;42.01;153.94;2859.11;2028.31;1523.61;2537.84;1.59;23.40;2.77
0.470;2498.83;0.32;43.60;156.90;2856.12;2028.92;1524.12;2537.27;1.65;23.30;2.84
0.480;2498.74;0.35;45.23;159.87;2853.12;2029.52;1524.62;2536.69;1.71;23.20;2.91
0.490;2498.65;0.38;46.88;162.83;2850.13;2030.13;1525.13;2536.09;1.78;23.10;2.99
0.500;2498.55;0.40;48.57;165.80;2847.13;2030.73;1525.63;2535.48;1.84;23.00;3.06
0.510;2498.45;0.43;50.28;168.76;2844.14;2031.34;1526.14;2534.85;1.91;22.90;3.13
0.520;2498.35;0.47;52.03;171.73;2841.14;2031.94;1526.64;2534.21;1.97;22.80;3.21
0.530;2498.24;0.50;53.80;174.70;2838.15;2032.55;1527.15;2533.55;2.04;22.70;3.28
0.540;2498.12;0.54;55.60;177.67;2835.15;2033.15;1527.65;2532.89;2.11;22.60;3.36
0.550;2498.00;0.57;57.43;180.64;2832.16;2033.76;1528.16;2532.20;2.18;22.50;3.43
0.560;2497.88;0.61;59.30;183.61;2829.17;2034.37;1528.67;2531.51;2.25;22.40;3.51
0.570;2497.75;0.66;61.19;186.59;2826.17;2034.97;1529.17;2530.80;2.33;22.30;3.59
0.580;2497.61;0.70;63.11;189.56;2823.18;2035.58;1529.68;2530.08;2.40;22.20;3.66
0.590;2497.47;0.74;65.06;192.53;2820.18;2036.18;1530.18;2529.34;2.48;22.10;3.74
0.600;2497.32;0.79;67.03;195.51;2817.19;2036.79;1530.69;2528.59;2.55;22.00;3.82
0.610;2497.17;0.84;69.04;198.48;2814.20;2037.40;1531.20;2527.82;2.63;21.90;3.89
0.620;2497.01;0.89;71.08;201.46;2811.20;2038.00;1531.70;2527.04;2.71;21.80;3.97
0.630;2496.85;0.95;73.15;204.43;2808.21;2038.61;1532.21;2526.25;2.79;21.70;4.05
0.640;2496.68;1.01;75.24;207.41;2805.21;2039.21;1532.71;2525.44;2.87;21.60;4.13
0.650;2496.50;1.06;77.37;210.38;2802.22;2039.82;1533.22;2524.62;2.95;21.50;4.21
0.660;2496.32;1.13;79.52;213.36;2799.23;2040.43;1533.73;2523.79;3.04;21.40;4.29
0.670;2496.13;1.19;81.71;216.33;2796.23;2041.03;1534.23;2522.94;3.12;21.30;4.37
0.680;2495.94;1.26;83.92;219.31;2793.24;2041.64;1534.74;2522.08;3.21;21.20;4.45
0.690;2495.73;1.33;86.16;222.28;2790.25;2042.25;1535.25;2521.20;3.29;21.10;4.53
0.700;2495.53;1.40;88.43;225.26;2787.26;2042.86;1535.76;2520.31;3.38;21.00;4.62
0.710;2495.31;1.47;90.74;228.23;2784.26;2043.46;1536.26;2519.40;3.47;20.90;4.70
0.720;2495.09;1.55;93.07;231.21;2781.27;2044.07;1536.77;2518.48;3.56;20.80;4.78
0.730;2494.86;1.63;95.42;234.18;2778.28;2044.68;1537.28;2517.55;3.65;20.70;4.86
0.740;2494.62;1.72;97.81;237.16;2775.29;2045.28;1537.79;2516.60;3.74;20.60;4.95
0.750;2494.38;1.80;100.23;240.13;2772.29;2045.89;1538.29;2515.64;3.84;20.50;5.03
0.760;2494.13;1.89;102.68;243.10;2769.30;2046.50;1538.80;2514.67;3.93;20.40;5.12
